Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_12_74,VPWR,li1,40.0200,46.2400,1.799979
FILLER_12_62,VPWR,li1,36.8000,46.2400,1.799979
FILLER_12_57,VPWR,li1,32.2000,46.2400,1.799979
FILLER_12_54,VPWR,li1,30.8200,46.2400,1.799979
FILLER_12_46,VPWR,li1,28.5200,46.2400,1.799979
FILLER_12_26,VPWR,li1,17.9400,46.2400,1.799978
FILLER_12_19,VPWR,li1,14.4900,46.2400,1.799975
FILLER_12_15,VPWR,li1,13.3400,46.2400,1.799975
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.799975
FILLER_11_75,VPWR,li1,40.2500,40.8000,1.799805
FILLER_11_69,VPWR,li1,38.6400,40.8000,1.799805
FILLER_11_57,VPWR,li1,32.4300,40.8000,1.799812
FILLER_11_15,VPWR,li1,12.6500,40.8000,1.799786
FILLER_11_3,VPWR,li1,9.6600,40.8000,1.799786
FILLER_10_70,VPWR,li1,39.1000,40.8000,1.799805
FILLER_10_55,VPWR,li1,31.5100,40.8000,1.799812
FILLER_10_45,VPWR,li1,27.1400,40.8000,1.799825
FILLER_10_36,VPWR,li1,22.3100,40.8000,1.799844
FILLER_10_29,VPWR,li1,19.0900,40.8000,1.799817
FILLER_9_61,VPWR,li1,33.8100,35.3600,1.799849
FILLER_9_57,VPWR,li1,32.6600,35.3600,1.799854
FILLER_9_44,VPWR,li1,28.5200,35.3600,1.799864
FILLER_9_28,VPWR,li1,18.6300,35.3600,1.799883
FILLER_9_22,VPWR,li1,17.0200,35.3600,1.799883
FILLER_9_14,VPWR,li1,12.6500,35.3600,1.799868
FILLER_9_3,VPWR,li1,8.7400,35.3600,1.799868
FILLER_8_70,VPWR,li1,39.1000,35.3600,1.799847
FILLER_8_29,VPWR,li1,19.0900,35.3600,1.799890
FILLER_7_74,VPWR,li1,40.0200,29.9200,1.799889
FILLER_7_66,VPWR,li1,36.3400,29.9200,1.799890
FILLER_7_57,VPWR,li1,33.1200,29.9200,1.799892
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799893
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.799896
FILLER_7_46,VPWR,li1,27.1400,29.9200,1.799898
FILLER_7_19,VPWR,li1,14.7200,29.9200,1.799881
FILLER_7_11,VPWR,li1,11.0400,29.9200,1.799878
FILLER_6_59,VPWR,li1,32.8900,29.9200,1.799892
FILLER_6_53,VPWR,li1,31.2800,29.9200,1.799893
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.799898
FILLER_6_29,VPWR,li1,19.3200,29.9200,1.799885
FILLER_6_16,VPWR,li1,15.6400,29.9200,1.799881
FILLER_6_9,VPWR,li1,9.8900,29.9200,1.799877
FILLER_5_72,VPWR,li1,38.8700,24.4800,1.799874
FILLER_5_60,VPWR,li1,34.0400,24.4800,1.799878
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.799883
FILLER_5_24,VPWR,li1,17.4800,24.4800,1.799900
FILLER_5_3,VPWR,li1,7.1300,24.4800,1.799886
FILLER_4_73,VPWR,li1,39.7900,24.4800,1.799874
FILLER_4_56,VPWR,li1,31.5100,24.4800,1.799883
FILLER_4_50,VPWR,li1,29.9000,24.4800,1.799883
FILLER_4_35,VPWR,li1,24.3800,24.4800,1.799900
FILLER_4_29,VPWR,li1,19.0900,24.4800,1.799906
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.799900
FILLER_4_21,VPWR,li1,15.4100,24.4800,1.799893
FILLER_4_17,VPWR,li1,14.2600,24.4800,1.799893
FILLER_4_9,VPWR,li1,9.8900,24.4800,1.799886
FILLER_4_3,VPWR,li1,8.2800,24.4800,1.799886
FILLER_3_75,VPWR,li1,40.2500,19.0400,1.799861
FILLER_3_69,VPWR,li1,38.6400,19.0400,1.799861
FILLER_3_60,VPWR,li1,34.0400,19.0400,1.799862
FILLER_3_32,VPWR,li1,21.1600,19.0400,1.799864
FILLER_3_25,VPWR,li1,17.9400,19.0400,1.799855
FILLER_3_9,VPWR,li1,9.8900,19.0400,1.799836
FILLER_3_3,VPWR,li1,8.2800,19.0400,1.799836
FILLER_2_72,VPWR,li1,38.8700,19.0400,1.799861
FILLER_2_58,VPWR,li1,32.4300,19.0400,1.799863
FILLER_1_60,VPWR,li1,33.8100,13.6000,1.799925
FILLER_1_30,VPWR,li1,19.5500,13.6000,1.799940
FILLER_1_26,VPWR,li1,18.4000,13.6000,1.799940
FILLER_1_14,VPWR,li1,14.7200,13.6000,1.799933
FILLER_1_7,VPWR,li1,9.6600,13.6000,1.799923
FILLER_0_70,VPWR,li1,39.1000,13.6000,1.799923
FILLER_0_57,VPWR,li1,33.5800,13.6000,1.799925
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799927
FILLER_0_41,VPWR,li1,27.1400,13.6000,1.799929
FILLER_0_29,VPWR,li1,21.6200,13.6000,1.799946
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799940
FILLER_0_15,VPWR,li1,15.1800,13.6000,1.799933
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799923
hold3,VPWR,li1,33.5800,24.4800,1.799878
hold2,VPWR,li1,8.7400,29.9200,1.799877
hold1,VPWR,li1,11.9600,19.0400,1.799836
clkload0,VPWR,li1,16.1000,46.2400,1.799975
clkbuf_1_1__f_clk,VPWR,li1,17.4800,40.8000,1.799800
clkbuf_1_0__f_clk,VPWR,li1,23.4600,19.0400,1.799874
clkbuf_0_clk,VPWR,li1,19.7800,29.9200,1.799885
output10,VPWR,li1,7.8200,13.6000,1.799916
input9,VPWR,li1,8.2800,29.9200,1.799877
input8,VPWR,li1,39.7900,19.0400,1.799861
input7,VPWR,li1,39.7900,13.6000,1.799923
input6,VPWR,li1,39.7900,24.4800,1.799874
input5,VPWR,li1,37.4900,29.9200,1.799889
input4,VPWR,li1,39.7900,35.3600,1.799847
input3,VPWR,li1,33.3500,46.2400,1.799979
input2,VPWR,li1,25.9900,46.2400,1.799979
input1,VPWR,li1,24.6100,46.2400,1.799979
TAP_TAPCELL_ROW_12_40,VPWR,li1,31.5100,45.9330,1.799979
TAP_TAPCELL_ROW_12_39,VPWR,li1,18.6300,45.9330,1.799978
TAP_TAPCELL_ROW_11_38,VPWR,li1,31.5100,41.1060,1.799812
TAP_TAPCELL_ROW_10_37,VPWR,li1,18.6300,40.4930,1.799800
TAP_TAPCELL_ROW_9_36,VPWR,li1,31.5100,35.6660,1.799854
TAP_TAPCELL_ROW_8_35,VPWR,li1,18.6300,35.0530,1.799883
TAP_TAPCELL_ROW_7_34,VPWR,li1,31.5100,30.2260,1.799893
TAP_TAPCELL_ROW_6_33,VPWR,li1,18.6300,29.6130,1.799885
TAP_TAPCELL_ROW_5_32,VPWR,li1,31.5100,24.7860,1.799883
TAP_TAPCELL_ROW_4_31,VPWR,li1,18.6300,24.1730,1.799906
TAP_TAPCELL_ROW_3_30,VPWR,li1,31.5100,19.3460,1.799863
TAP_TAPCELL_ROW_2_29,VPWR,li1,18.6300,18.7330,1.799855
TAP_TAPCELL_ROW_1_28,VPWR,li1,31.5100,13.9060,1.799927
TAP_TAPCELL_ROW_0_27,VPWR,li1,31.5100,13.2930,1.799927
TAP_TAPCELL_ROW_0_26,VPWR,li1,18.6300,13.2930,1.799940
PHY_EDGE_ROW_12_Left_25,VPWR,li1,6.2100,46.2400,1.799975
PHY_EDGE_ROW_11_Left_24,VPWR,li1,6.2100,40.8000,1.799786
PHY_EDGE_ROW_10_Left_23,VPWR,li1,6.2100,40.8000,1.799786
PHY_EDGE_ROW_9_Left_22,VPWR,li1,6.2100,35.3600,1.799868
PHY_EDGE_ROW_8_Left_21,VPWR,li1,6.2100,35.3600,1.799868
PHY_EDGE_ROW_7_Left_20,VPWR,li1,6.2100,29.9200,1.799877
PHY_EDGE_ROW_6_Left_19,VPWR,li1,6.2100,29.9200,1.799877
PHY_EDGE_ROW_5_Left_18,VPWR,li1,6.2100,24.4800,1.799886
PHY_EDGE_ROW_4_Left_17,VPWR,li1,6.2100,24.4800,1.799886
PHY_EDGE_ROW_3_Left_16,VPWR,li1,6.2100,19.0400,1.799836
PHY_EDGE_ROW_2_Left_15,VPWR,li1,6.2100,19.0400,1.799836
PHY_EDGE_ROW_1_Left_14,VPWR,li1,6.2100,13.6000,1.799916
PHY_EDGE_ROW_0_Left_13,VPWR,li1,6.2100,13.6000,1.799916
PHY_EDGE_ROW_12_Right_12,VPWR,li1,41.1700,46.2400,1.799979
PHY_EDGE_ROW_11_Right_11,VPWR,li1,41.1700,40.8000,1.799805
PHY_EDGE_ROW_10_Right_10,VPWR,li1,41.1700,40.8000,1.799805
PHY_EDGE_ROW_9_Right_9,VPWR,li1,41.1700,35.3600,1.799847
PHY_EDGE_ROW_8_Right_8,VPWR,li1,41.1700,35.3600,1.799847
PHY_EDGE_ROW_7_Right_7,VPWR,li1,41.1700,29.9200,1.799889
PHY_EDGE_ROW_6_Right_6,VPWR,li1,41.1700,29.9200,1.799889
PHY_EDGE_ROW_5_Right_5,VPWR,li1,41.1700,24.4800,1.799874
PHY_EDGE_ROW_4_Right_4,VPWR,li1,41.1700,24.4800,1.799874
PHY_EDGE_ROW_3_Right_3,VPWR,li1,41.1700,19.0400,1.799861
PHY_EDGE_ROW_2_Right_2,VPWR,li1,41.1700,19.0400,1.799861
PHY_EDGE_ROW_1_Right_1,VPWR,li1,41.1700,13.6000,1.799923
PHY_EDGE_ROW_0_Right_0,VPWR,li1,41.1700,13.6000,1.799923
_120_,VPWR,li1,11.5000,19.0400,1.799836
_119_,VPWR,li1,26.6800,19.0400,1.799865
_118_,VPWR,li1,26.6800,13.6000,1.799929
_117_,VPWR,li1,11.9600,24.4800,1.799886
_116_,VPWR,li1,26.2200,24.4800,1.799889
_115_,VPWR,li1,27.1400,35.3600,1.799864
_114_,VPWR,li1,26.6800,40.8000,1.799825
_113_,VPWR,li1,11.5000,40.8000,1.799786
_112_,VPWR,li1,11.5000,35.3600,1.799868
_111_,VPWR,li1,11.2700,13.6000,1.799923
_110_,VPWR,li1,31.5100,19.0400,1.799863
_109_,VPWR,li1,32.4300,13.6000,1.799925
_108_,VPWR,li1,12.1900,29.9200,1.799878
_107_,VPWR,li1,27.8300,24.4800,1.799889
_106_,VPWR,li1,28.2900,29.9200,1.799896
_105_,VPWR,li1,28.7500,40.8000,1.799817
_104_,VPWR,li1,11.2700,35.3600,1.799868
_103_,VPWR,li1,29.4400,19.0400,1.799864
_102_,VPWR,li1,17.2500,19.0400,1.799855
_101_,VPWR,li1,20.9300,13.6000,1.799946
_100_,VPWR,li1,19.5500,19.0400,1.799864
_099_,VPWR,li1,11.7300,24.4800,1.799886
_098_,VPWR,li1,16.7900,24.4800,1.799900
_097_,VPWR,li1,23.2300,29.9200,1.799901
_096_,VPWR,li1,20.0100,24.4800,1.799906
_095_,VPWR,li1,20.4700,24.4800,1.799913
_094_,VPWR,li1,25.5300,29.9200,1.799898
_093_,VPWR,li1,20.9300,35.3600,1.799896
_092_,VPWR,li1,20.9300,29.9200,1.799903
_091_,VPWR,li1,17.2500,35.3600,1.799883
_090_,VPWR,li1,24.1500,35.3600,1.799881
_089_,VPWR,li1,25.5300,40.8000,1.799825
_088_,VPWR,li1,23.6900,40.8000,1.799834
_087_,VPWR,li1,17.2500,40.8000,1.799800
_086_,VPWR,li1,19.5500,35.3600,1.799890
_085_,VPWR,li1,14.4900,35.3600,1.799876
_084_,VPWR,li1,12.8800,29.9200,1.799879
_083_,VPWR,li1,15.4100,19.0400,1.799847
_082_,VPWR,li1,34.7300,35.3600,1.799849
_081_,VPWR,li1,38.8700,29.9200,1.799889
_080_,VPWR,li1,34.0400,19.0400,1.799862
_079_,VPWR,li1,35.1900,29.9200,1.799890
_078_,VPWR,li1,35.1900,29.9200,1.799890
_077_,VPWR,li1,37.2600,24.4800,1.799874
_076_,VPWR,li1,36.8000,24.4800,1.799874
_075_,VPWR,li1,37.0300,19.0400,1.799861
_074_,VPWR,li1,36.5700,13.6000,1.799924
_073_,VPWR,li1,35.6500,13.6000,1.799924
