Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_133,VPWR,li1,67.1600,73.4400,1.799908
FILLER_22_125,VPWR,li1,64.8600,73.4400,1.799908
FILLER_22_113,VPWR,li1,60.2600,73.4400,1.799908
FILLER_22_110,VPWR,li1,56.5800,73.4400,1.799908
FILLER_22_98,VPWR,li1,53.3600,73.4400,1.799908
FILLER_22_93,VPWR,li1,48.5300,73.4400,1.799908
FILLER_22_85,VPWR,li1,46.4600,73.4400,1.799910
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799914
FILLER_22_77,VPWR,li1,41.6300,73.4400,1.799916
FILLER_22_69,VPWR,li1,39.1000,73.4400,1.799920
FILLER_22_41,VPWR,li1,27.1400,73.4400,1.799949
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.799967
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799967
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.799967
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.799967
FILLER_21_133,VPWR,li1,67.1600,68.0000,1.799896
FILLER_21_125,VPWR,li1,64.8600,68.0000,1.799896
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799896
FILLER_21_109,VPWR,li1,56.3500,68.0000,1.799896
FILLER_21_101,VPWR,li1,53.8200,68.0000,1.799896
FILLER_21_86,VPWR,li1,45.3100,68.0000,1.799902
FILLER_21_79,VPWR,li1,42.7800,68.0000,1.799907
FILLER_21_67,VPWR,li1,39.1000,68.0000,1.799912
FILLER_21_60,VPWR,li1,33.3500,68.0000,1.799929
FILLER_21_53,VPWR,li1,30.5900,68.0000,1.799934
FILLER_21_39,VPWR,li1,25.3000,68.0000,1.799951
FILLER_21_27,VPWR,li1,20.7000,68.0000,1.799963
FILLER_21_15,VPWR,li1,15.1800,68.0000,1.799963
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.799962
FILLER_20_129,VPWR,li1,66.2400,68.0000,1.799896
FILLER_20_117,VPWR,li1,62.1000,68.0000,1.799896
FILLER_20_105,VPWR,li1,56.5800,68.0000,1.799896
FILLER_20_78,VPWR,li1,41.6300,68.0000,1.799907
FILLER_20_33,VPWR,li1,21.1600,68.0000,1.799963
FILLER_20_26,VPWR,li1,17.9400,68.0000,1.799963
FILLER_20_18,VPWR,li1,15.6400,68.0000,1.799963
FILLER_20_6,VPWR,li1,11.0400,68.0000,1.799962
FILLER_19_133,VPWR,li1,67.1600,62.5600,1.799843
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799849
FILLER_19_101,VPWR,li1,53.8200,62.5600,1.799852
FILLER_19_76,VPWR,li1,41.1700,62.5600,1.799876
FILLER_19_54,VPWR,li1,30.8200,62.5600,1.799903
FILLER_19_46,VPWR,li1,26.9100,62.5600,1.799918
FILLER_19_3,VPWR,li1,9.6600,62.5600,1.799922
FILLER_18_134,VPWR,li1,67.3900,62.5600,1.799843
FILLER_18_128,VPWR,li1,65.7800,62.5600,1.799843
FILLER_18_116,VPWR,li1,61.6400,62.5600,1.799843
FILLER_18_104,VPWR,li1,56.1200,62.5600,1.799849
FILLER_18_96,VPWR,li1,49.9100,62.5600,1.799858
FILLER_18_92,VPWR,li1,48.7600,62.5600,1.799863
FILLER_18_85,VPWR,li1,45.5400,62.5600,1.799868
FILLER_18_76,VPWR,li1,42.3200,62.5600,1.799876
FILLER_18_42,VPWR,li1,25.5300,62.5600,1.799918
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799925
FILLER_17_133,VPWR,li1,67.1600,57.1200,1.799842
FILLER_17_125,VPWR,li1,64.8600,57.1200,1.799842
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799842
FILLER_17_106,VPWR,li1,55.6600,57.1200,1.799842
FILLER_17_82,VPWR,li1,43.4700,57.1200,1.799849
FILLER_17_74,VPWR,li1,41.4000,57.1200,1.799853
FILLER_17_60,VPWR,li1,33.3500,57.1200,1.799873
FILLER_17_53,VPWR,li1,30.5900,57.1200,1.799880
FILLER_17_49,VPWR,li1,28.2900,57.1200,1.799892
FILLER_17_41,VPWR,li1,26.2200,57.1200,1.799905
FILLER_17_20,VPWR,li1,14.9500,57.1200,1.799917
FILLER_17_10,VPWR,li1,10.3500,57.1200,1.799915
FILLER_16_104,VPWR,li1,55.2000,57.1200,1.799842
FILLER_16_92,VPWR,li1,50.6000,57.1200,1.799842
FILLER_16_82,VPWR,li1,43.7000,57.1200,1.799849
FILLER_16_70,VPWR,li1,40.4800,57.1200,1.799853
FILLER_16_43,VPWR,li1,25.7600,57.1200,1.799905
FILLER_16_35,VPWR,li1,23.4600,57.1200,1.799925
FILLER_16_25,VPWR,li1,17.7100,57.1200,1.799918
FILLER_16_17,VPWR,li1,15.1800,57.1200,1.799917
FILLER_16_11,VPWR,li1,10.8100,57.1200,1.799915
FILLER_16_3,VPWR,li1,8.7400,57.1200,1.799915
FILLER_15_127,VPWR,li1,65.7800,51.6800,1.799903
